GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
25,2022-12-10,,Ottawa Senators,2,3,L,,,33,13,2,6,0,35,45,43.8,26,32,44.8,15,27,35.7,54.2,107.1,Nashville Predators,Nashville Predators,Ottawa Senators,2,3
26,2022-12-12,@,St. Louis Blues,0,1,L,OT,,24,8,0,3,0,45,42,51.7,30,27,52.6,15,16,48.4,51.3,94.4,Nashville Predators,St. Louis Blues,Nashville Predators,1,0
27,2022-12-13,,Edmonton Oilers,3,6,L,,,37,10,2,2,0,52,52,50.0,38,42,47.5,28,21,57.1,42.9,100.0,Nashville Predators,Nashville Predators,Edmonton Oilers,3,6
28,2022-12-15,@,Winnipeg Jets,1,2,L,OT,,41,15,0,4,0,36,64,36.0,28,52,35.0,19,17,52.8,57.1,98.3,Nashville Predators,Winnipeg Jets,Nashville Predators,2,1
29,2022-12-17,@,Colorado Avalanche,1,3,L,,,30,4,1,3,0,46,46,50.0,30,30,50.0,21,20,51.2,56.0,94.2,Nashville Predators,Colorado Avalanche,Nashville Predators,3,1
30,2022-12-19,,Edmonton Oilers,4,3,W,OT,,33,4,2,3,0,54,52,50.9,45,37,54.9,24,19,55.8,48.6,106.0,Nashville Predators,Nashville Predators,Edmonton Oilers,4,3
31,2022-12-21,@,Chicago Blackhawks,4,2,W,,,39,4,0,4,0,62,52,54.4,45,43,51.1,21,19,52.5,37.0,103.3,Nashville Predators,Chicago Blackhawks,Nashville Predators,2,4
32,2022-12-23,,Colorado Avalanche,2,3,L,OT,,46,6,0,4,0,53,69,43.4,43,50,46.2,27,26,50.9,42.2,95.3,Nashville Predators,Nashville Predators,Colorado Avalanche,2,3
33,2022-12-27,,Dallas Stars,2,3,L,,,33,6,1,6,0,44,55,44.4,32,38,45.7,22,15,59.5,48.3,97.4,Nashville Predators,Nashville Predators,Dallas Stars,2,3
34,2022-12-30,@,Anaheim Ducks,6,1,W,,,27,2,0,1,0,76,54,58.5,59,45,56.7,23,21,52.3,50.0,107.9,Nashville Predators,Anaheim Ducks,Nashville Predators,1,6
35,2022-12-31,@,Vegas Golden Knights,4,5,L,OT,,32,14,0,1,0,58,64,47.5,43,44,49.4,28,28,50.0,42.8,92.9,Nashville Predators,Vegas Golden Knights,Nashville Predators,5,4
36,2023-01-03,,Montreal Canadiens,6,3,W,,,27,10,0,4,0,63,38,62.4,48,29,62.3,26,18,59.1,59.6,99.5,Nashville Predators,Nashville Predators,Montreal Canadiens,6,3
37,2023-01-05,@,Carolina Hurricanes,5,3,W,,,67,8,1,4,0,40,85,32.0,27,70,27.8,23,34,40.4,30.5,115.4,Nashville Predators,Carolina Hurricanes,Nashville Predators,3,5
38,2023-01-06,@,Washington Capitals,3,2,W,,,32,4,0,3,0,43,51,45.7,28,35,44.4,26,19,57.8,59.3,109.8,Nashville Predators,Washington Capitals,Nashville Predators,2,3
39,2023-01-09,@,Ottawa Senators,3,0,W,,,38,17,0,5,0,33,51,39.3,29,35,45.3,15,25,37.5,36.8,113.6,Nashville Predators,Ottawa Senators,Nashville Predators,0,3
40,2023-01-11,@,Toronto Maple Leafs,1,2,L,,,35,4,1,5,0,38,50,43.2,26,40,39.4,20,23,46.5,43.3,100.6,Nashville Predators,Toronto Maple Leafs,Nashville Predators,2,1
41,2023-01-12,@,Montreal Canadiens,3,4,L,,,35,15,2,3,0,71,63,53.0,52,47,52.5,22,22,50.0,48.6,101.2,Nashville Predators,Montreal Canadiens,Nashville Predators,4,3
42,2023-01-14,,Buffalo Sabres,3,5,L,,,33,6,1,4,1,60,49,55.0,44,41,51.8,24,25,49.0,56.3,94.2,Nashville Predators,Nashville Predators,Buffalo Sabres,3,5
43,2023-01-16,,Calgary Flames,2,1,W,,,39,6,0,4,0,58,49,54.2,39,40,49.4,30,17,63.8,57.6,104.0,Nashville Predators,Nashville Predators,Calgary Flames,2,1
