GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
66,2023-03-12,@,Pittsburgh Penguins,2,3,L,OT,,35,6,2,4,0,52,50,51.0,32,36,47.1,28,28,50.0,52.4,104.8,New York Rangers,Pittsburgh Penguins,New York Rangers,3,2
67,2023-03-14,,Washington Capitals,5,3,W,,,31,6,0,4,0,50,56,47.2,38,39,49.4,24,26,48.0,34.5,105.0,New York Rangers,New York Rangers,Washington Capitals,5,3
68,2023-03-16,,Pittsburgh Penguins,4,2,W,,,32,4,0,0,0,58,59,49.6,42,45,48.3,22,27,44.9,71.0,105.7,New York Rangers,New York Rangers,Pittsburgh Penguins,4,2
69,2023-03-18,,Pittsburgh Penguins,6,0,W,,,33,12,0,5,0,31,53,36.9,23,38,37.7,21,21,50.0,42.9,127.8,New York Rangers,New York Rangers,Pittsburgh Penguins,6,0
70,2023-03-19,,Nashville Predators,7,0,W,,,22,8,0,1,0,48,39,55.2,37,21,63.8,8,20,28.6,41.6,120.0,New York Rangers,New York Rangers,Nashville Predators,7,0
71,2023-03-21,,Carolina Hurricanes,2,3,L,,,39,6,0,1,0,39,60,39.4,33,48,40.7,29,27,51.8,25.0,99.5,New York Rangers,New York Rangers,Carolina Hurricanes,2,3
72,2023-03-23,@,Carolina Hurricanes,2,1,W,,,30,6,0,3,0,22,56,28.2,16,42,27.6,19,24,44.2,18.5,113.1,New York Rangers,Carolina Hurricanes,New York Rangers,1,2
73,2023-03-25,@,Florida Panthers,4,3,W,,,34,8,0,2,0,51,60,45.9,41,37,52.6,24,34,41.4,47.5,100.2,New York Rangers,Florida Panthers,New York Rangers,3,4
74,2023-03-28,,Columbus Blue Jackets,6,2,W,,,30,4,1,4,0,52,38,57.8,41,31,56.9,19,26,42.2,48.4,111.1,New York Rangers,New York Rangers,Columbus Blue Jackets,6,2
75,2023-03-30,@,New Jersey Devils,1,2,L,,,31,4,1,2,0,43,57,43.0,35,40,46.7,26,21,55.3,54.5,96.2,New York Rangers,New Jersey Devils,New York Rangers,2,1
76,2023-03-31,@,Buffalo Sabres,2,3,L,OT,,34,2,0,2,0,56,60,48.3,44,46,48.9,24,27,47.1,55.6,97.8,New York Rangers,Buffalo Sabres,New York Rangers,3,2
77,2023-04-02,@,Washington Capitals,5,2,W,,,28,33,0,2,0,48,52,48.0,40,41,49.4,25,22,53.2,41.1,106.8,New York Rangers,Washington Capitals,New York Rangers,2,5
78,2023-04-05,,Tampa Bay Lightning,6,3,W,,,31,42,1,3,0,39,55,41.5,30,40,42.9,13,21,38.2,18.2,109.8,New York Rangers,New York Rangers,Tampa Bay Lightning,6,3
79,2023-04-06,@,St. Louis Blues,2,3,L,OT,,22,4,0,1,0,46,43,51.7,29,31,48.3,25,14,64.1,60.9,85.7,New York Rangers,St. Louis Blues,New York Rangers,3,2
80,2023-04-08,@,Columbus Blue Jackets,4,0,W,,,20,4,0,2,0,54,39,58.1,39,26,60.0,27,19,58.7,57.9,116.7,New York Rangers,Columbus Blue Jackets,New York Rangers,0,4
81,2023-04-10,,Buffalo Sabres,2,3,L,SO,,39,4,0,2,0,45,50,47.4,34,44,43.6,21,17,55.3,52.2,98.4,New York Rangers,New York Rangers,Buffalo Sabres,2,3
82,2023-04-13,,Toronto Maple Leafs,2,3,L,,,21,4,0,1,0,45,49,47.9,35,34,50.7,18,24,42.9,59.3,90.5,New York Rangers,New York Rangers,Toronto Maple Leafs,2,3
