GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
48,2023-01-23,,New York Islanders,5,2,W,,,33,6,0,2,0,53,70,43.1,43,47,47.8,19,24,44.2,37.3,107.3,Toronto Maple Leafs,Toronto Maple Leafs,New York Islanders,5,2
49,2023-01-25,,New York Rangers,3,2,W,OT,,29,6,0,2,0,55,42,56.7,41,33,55.4,22,20,52.4,42.9,102.0,Toronto Maple Leafs,Toronto Maple Leafs,New York Rangers,3,2
50,2023-01-27,,Ottawa Senators,2,6,L,,,34,8,1,5,0,53,37,58.9,40,34,54.1,21,20,51.2,70.0,82.0,Toronto Maple Leafs,Toronto Maple Leafs,Ottawa Senators,2,6
51,2023-01-29,,Washington Capitals,5,1,W,,,24,6,1,4,0,41,40,50.6,34,26,56.7,17,19,47.2,47.5,116.7,Toronto Maple Leafs,Toronto Maple Leafs,Washington Capitals,5,1
52,2023-02-01,,Boston Bruins,2,5,L,,,29,11,0,1,1,67,45,59.8,48,36,57.1,23,21,52.3,72.9,87.6,Toronto Maple Leafs,Toronto Maple Leafs,Boston Bruins,2,5
53,2023-02-10,@,Columbus Blue Jackets,3,0,W,,,30,18,0,3,0,52,47,52.5,37,35,51.4,16,27,37.2,53.3,106.9,Toronto Maple Leafs,Columbus Blue Jackets,Toronto Maple Leafs,0,3
54,2023-02-11,,Columbus Blue Jackets,3,4,L,,,40,4,0,4,0,55,54,50.5,38,38,50.0,22,23,48.9,54.6,94.0,Toronto Maple Leafs,Toronto Maple Leafs,Columbus Blue Jackets,3,4
55,2023-02-15,,Chicago Blackhawks,5,2,W,,,29,6,0,3,0,57,42,57.6,46,30,60.5,25,17,59.5,66.7,105.2,Toronto Maple Leafs,Toronto Maple Leafs,Chicago Blackhawks,5,2
56,2023-02-18,,Montreal Canadiens,5,1,W,,,30,6,0,1,0,55,51,51.9,44,38,53.7,32,18,64.0,48.6,107.5,Toronto Maple Leafs,Toronto Maple Leafs,Montreal Canadiens,5,1
57,2023-02-19,@,Chicago Blackhawks,3,5,L,,,28,4,0,3,0,62,38,62.0,43,32,57.3,26,19,57.8,53.3,87.0,Toronto Maple Leafs,Chicago Blackhawks,Toronto Maple Leafs,5,3
58,2023-02-21,@,Buffalo Sabres,6,3,W,,,32,6,0,1,0,35,55,38.9,28,38,42.4,29,23,55.8,38.5,110.6,Toronto Maple Leafs,Buffalo Sabres,Toronto Maple Leafs,3,6
59,2023-02-24,,Minnesota Wild,2,1,W,OT,,25,4,0,1,0,46,60,43.4,33,35,48.5,33,12,73.3,67.3,104.8,Toronto Maple Leafs,Toronto Maple Leafs,Minnesota Wild,2,1
60,2023-02-26,@,Seattle Kraken,5,1,W,,,27,2,0,2,0,48,47,50.5,38,33,53.5,27,10,73.0,50.0,113.1,Toronto Maple Leafs,Seattle Kraken,Toronto Maple Leafs,1,5
61,2023-03-01,@,Edmonton Oilers,2,5,L,,,32,11,1,4,0,40,48,45.5,29,36,44.6,30,24,55.6,45.1,90.3,Toronto Maple Leafs,Edmonton Oilers,Toronto Maple Leafs,5,2
62,2023-03-02,@,Calgary Flames,2,1,W,,,26,4,0,2,1,42,50,45.7,36,33,52.2,29,23,55.8,51.3,107.1,Toronto Maple Leafs,Calgary Flames,Toronto Maple Leafs,1,2
63,2023-03-04,@,Vancouver Canucks,1,4,L,,,24,13,1,3,2,52,43,54.7,38,28,57.6,23,15,60.5,56.0,94.7,Toronto Maple Leafs,Vancouver Canucks,Toronto Maple Leafs,4,1
64,2023-03-07,@,New Jersey Devils,4,3,W,,,33,4,1,4,0,38,50,43.2,31,41,43.1,27,14,65.9,50.0,101.9,Toronto Maple Leafs,New Jersey Devils,Toronto Maple Leafs,3,4
65,2023-03-11,,Edmonton Oilers,7,4,W,,,26,20,1,3,0,44,41,51.8,36,32,52.9,23,20,53.5,59.4,103.0,Toronto Maple Leafs,Toronto Maple Leafs,Edmonton Oilers,7,4
66,2023-03-13,,Buffalo Sabres,3,4,L,,,29,2,1,3,0,45,48,48.4,36,34,51.4,37,18,67.3,56.8,99.0,Toronto Maple Leafs,Toronto Maple Leafs,Buffalo Sabres,3,4
67,2023-03-15,,Colorado Avalanche,1,2,L,SO,,29,6,1,5,0,32,55,36.8,22,36,37.9,27,20,57.4,33.5,106.7,Toronto Maple Leafs,Toronto Maple Leafs,Colorado Avalanche,1,2
68,2023-03-17,,Carolina Hurricanes,5,2,W,,,34,2,0,3,0,36,72,33.3,28,54,34.1,26,21,55.3,38.7,111.9,Toronto Maple Leafs,Toronto Maple Leafs,Carolina Hurricanes,5,2
69,2023-03-18,@,Ottawa Senators,5,4,W,SO,,52,4,1,3,1,44,81,35.2,29,65,30.9,26,31,45.6,51.0,108.7,Toronto Maple Leafs,Ottawa Senators,Toronto Maple Leafs,4,5
