GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
24,2022-12-05,,Vegas Golden Knights,3,4,L,SO,,24,8,0,3,0,55,43,56.1,45,31,59.2,21,27,43.8,63.9,90.5,Boston Bruins,Boston Bruins,Vegas Golden Knights,3,4
25,2022-12-07,@,Colorado Avalanche,4,0,W,,,23,11,0,4,0,54,36,60.0,41,28,59.4,23,28,45.1,54.6,112.5,Boston Bruins,Colorado Avalanche,Boston Bruins,0,4
26,2022-12-09,@,Arizona Coyotes,3,4,L,,,16,12,0,4,0,50,24,67.6,44,17,72.1,24,9,72.7,66.7,69.7,Boston Bruins,Arizona Coyotes,Boston Bruins,4,3
27,2022-12-11,@,Vegas Golden Knights,3,1,W,,,31,4,1,4,0,47,50,48.5,29,35,45.3,22,19,53.7,57.8,112.5,Boston Bruins,Vegas Golden Knights,Boston Bruins,1,3
28,2022-12-13,,New York Islanders,4,3,W,SO,,26,9,0,3,0,52,59,46.8,39,37,51.3,31,26,54.4,53.1,91.6,Boston Bruins,Boston Bruins,New York Islanders,4,3
29,2022-12-15,,Los Angeles Kings,2,3,L,SO,,30,14,1,6,0,46,45,50.5,31,32,49.2,16,22,42.1,62.1,101.4,Boston Bruins,Boston Bruins,Los Angeles Kings,2,3
30,2022-12-17,,Columbus Blue Jackets,4,2,W,,,33,8,2,5,0,64,38,62.7,45,29,60.8,31,10,75.6,55.5,105.7,Boston Bruins,Boston Bruins,Columbus Blue Jackets,4,2
31,2022-12-19,,Florida Panthers,7,3,W,,,39,10,0,3,0,42,55,43.3,31,43,41.9,27,23,54.0,51.4,115.9,Boston Bruins,Boston Bruins,Florida Panthers,7,3
32,2022-12-22,,Winnipeg Jets,3,2,W,,,27,8,0,2,0,51,40,56.0,44,32,57.9,27,14,65.9,40.0,95.5,Boston Bruins,Boston Bruins,Winnipeg Jets,3,2
33,2022-12-23,@,New Jersey Devils,4,3,W,,,40,2,1,2,0,41,71,36.6,28,44,38.9,23,22,51.1,46.7,112.1,Boston Bruins,New Jersey Devils,Boston Bruins,3,4
34,2022-12-27,@,Ottawa Senators,2,3,L,SO,,32,6,1,2,0,70,47,59.8,49,33,59.8,33,18,64.7,59.8,101.0,Boston Bruins,Ottawa Senators,Boston Bruins,3,2
35,2022-12-28,@,New Jersey Devils,3,1,W,,,31,11,0,2,0,46,71,39.3,38,51,42.7,29,16,64.4,42.2,109.8,Boston Bruins,New Jersey Devils,Boston Bruins,1,3
36,2022-12-31,,Buffalo Sabres,3,4,L,OT,,25,17,0,3,0,47,32,59.5,33,23,58.9,24,23,51.1,39.1,86.4,Boston Bruins,Boston Bruins,Buffalo Sabres,3,4
37,2023-01-02,,Pittsburgh Penguins,2,1,W,,,27,6,0,3,0,49,55,47.1,33,39,45.8,28,37,43.1,44.8,104.3,Boston Bruins,Boston Bruins,Pittsburgh Penguins,2,1
38,2023-01-05,@,Los Angeles Kings,5,2,W,,,29,7,0,1,0,42,56,42.9,27,36,42.9,21,24,46.7,46.4,111.9,Boston Bruins,Los Angeles Kings,Boston Bruins,2,5
39,2023-01-07,@,San Jose Sharks,4,2,W,,,30,6,0,4,0,49,55,47.1,37,37,50.0,23,21,52.3,54.8,102.4,Boston Bruins,San Jose Sharks,Boston Bruins,2,4
40,2023-01-08,@,Anaheim Ducks,7,1,W,,,29,6,0,2,0,59,47,55.7,50,29,63.3,20,22,47.6,48.0,111.0,Boston Bruins,Anaheim Ducks,Boston Bruins,1,7
41,2023-01-12,,Seattle Kraken,0,3,L,,,31,2,0,3,0,52,43,54.7,36,34,51.4,23,9,71.9,47.8,89.3,Boston Bruins,Boston Bruins,Seattle Kraken,0,3
42,2023-01-14,,Toronto Maple Leafs,4,3,W,,,21,21,1,2,0,55,53,50.9,41,31,56.9,24,24,50.0,44.2,102.4,Boston Bruins,Boston Bruins,Toronto Maple Leafs,4,3
43,2023-01-16,,Philadelphia Flyers,6,0,W,,,29,20,0,6,0,45,44,50.6,32,33,49.2,29,18,61.7,46.9,120.8,Boston Bruins,Boston Bruins,Philadelphia Flyers,6,0
44,2023-01-18,@,New York Islanders,4,1,W,,,26,8,0,6,0,38,49,43.7,33,30,52.4,20,13,60.6,34.6,109.3,Boston Bruins,New York Islanders,Boston Bruins,1,4
