GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
33,2022-12-17,,New York Islanders,2,5,L,,,26,6,0,2,0,66,47,58.4,52,34,60.5,28,21,57.1,72.6,80.0,Vegas Golden Knights,Vegas Golden Knights,New York Islanders,2,5
34,2022-12-19,,Buffalo Sabres,2,3,L,,,18,6,0,1,0,56,45,55.4,44,36,55.0,35,28,55.6,54.0,89.6,Vegas Golden Knights,Vegas Golden Knights,Buffalo Sabres,2,3
35,2022-12-21,,Arizona Coyotes,5,2,W,,,23,8,0,2,0,49,44,52.7,29,32,47.5,23,19,54.8,47.8,100.5,Vegas Golden Knights,Vegas Golden Knights,Arizona Coyotes,5,2
36,2022-12-23,,St. Louis Blues,5,4,W,SO,,29,4,1,3,0,41,46,47.1,30,32,48.4,20,16,55.6,46.6,99.5,Vegas Golden Knights,Vegas Golden Knights,St. Louis Blues,5,4
37,2022-12-27,@,Los Angeles Kings,2,4,L,,,25,6,0,2,0,44,44,50.0,30,33,47.6,15,25,37.5,44.0,88.6,Vegas Golden Knights,Los Angeles Kings,Vegas Golden Knights,4,2
38,2022-12-28,@,Anaheim Ducks,2,3,L,SO,,27,10,0,5,0,63,42,60.0,46,26,63.9,30,16,65.2,59.8,91.7,Vegas Golden Knights,Anaheim Ducks,Vegas Golden Knights,3,2
39,2022-12-31,,Nashville Predators,5,4,W,OT,,37,21,1,4,0,64,58,52.5,44,43,50.6,28,28,50.0,57.2,107.1,Vegas Golden Knights,Vegas Golden Knights,Nashville Predators,5,4
40,2023-01-02,@,Colorado Avalanche,3,2,W,,,29,9,0,5,0,46,37,55.4,39,28,58.2,22,19,53.7,41.5,102.9,Vegas Golden Knights,Colorado Avalanche,Vegas Golden Knights,2,3
41,2023-01-05,,Pittsburgh Penguins,5,2,W,,,40,2,0,3,0,50,58,46.3,39,41,48.8,27,27,50.0,42.1,108.0,Vegas Golden Knights,Vegas Golden Knights,Pittsburgh Penguins,5,2
42,2023-01-07,,Los Angeles Kings,1,5,L,,,23,6,0,1,1,36,34,51.4,24,27,47.1,16,25,39.0,68.0,85.5,Vegas Golden Knights,Vegas Golden Knights,Los Angeles Kings,1,5
43,2023-01-12,,Florida Panthers,4,2,W,,,39,11,1,3,0,58,68,46.0,46,49,48.4,36,23,61.0,44.4,107.1,Vegas Golden Knights,Vegas Golden Knights,Florida Panthers,4,2
44,2023-01-14,,Edmonton Oilers,3,4,L,,,37,4,0,1,0,52,54,49.1,40,44,47.6,27,30,47.4,56.4,97.8,Vegas Golden Knights,Vegas Golden Knights,Edmonton Oilers,3,4
45,2023-01-16,,Dallas Stars,0,4,L,,,36,4,0,2,0,46,64,41.8,34,46,42.5,22,25,46.8,52.9,87.5,Vegas Golden Knights,Vegas Golden Knights,Dallas Stars,0,4
46,2023-01-19,,Detroit Red Wings,2,3,L,,,25,0,1,1,0,61,46,57.0,46,34,57.5,34,24,58.6,60.5,97.4,Vegas Golden Knights,Vegas Golden Knights,Detroit Red Wings,2,3
47,2023-01-21,,Washington Capitals,6,2,W,,,22,4,0,3,0,50,42,54.3,41,27,60.3,24,16,60.0,52.2,112.6,Vegas Golden Knights,Vegas Golden Knights,Washington Capitals,6,2
48,2023-01-22,@,Arizona Coyotes,1,4,L,,,23,8,0,1,0,62,41,60.2,48,31,60.8,31,19,62.0,72.3,78.9,Vegas Golden Knights,Arizona Coyotes,Vegas Golden Knights,4,1
49,2023-01-24,@,New Jersey Devils,2,3,L,OT,,36,11,1,1,0,53,65,44.9,35,44,44.3,12,31,27.9,42.3,101.2,Vegas Golden Knights,New Jersey Devils,Vegas Golden Knights,3,2
50,2023-01-27,@,New York Rangers,1,4,L,,,40,9,0,2,0,44,54,44.9,35,48,42.2,24,22,52.2,33.3,92.1,Vegas Golden Knights,New York Rangers,Vegas Golden Knights,4,1
51,2023-01-28,@,New York Islanders,1,2,L,OT,,38,4,0,1,0,60,63,48.8,45,41,52.3,22,27,44.9,42.7,96.4,Vegas Golden Knights,New York Islanders,Vegas Golden Knights,2,1
52,2023-02-07,@,Nashville Predators,5,1,W,,,17,6,0,2,0,48,44,52.2,34,33,50.7,18,21,46.2,30.0,112.1,Vegas Golden Knights,Nashville Predators,Vegas Golden Knights,1,5
53,2023-02-09,@,Minnesota Wild,5,1,W,,,28,6,1,2,0,49,53,48.0,36,37,49.3,34,29,54.0,36.4,116.1,Vegas Golden Knights,Minnesota Wild,Vegas Golden Knights,1,5
