GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
71,2023-03-21,,Seattle Kraken,4,5,L,OT,,27,8,0,2,0,47,53,47.0,31,45,40.8,28,21,57.1,44.3,95.8,Dallas Stars,Dallas Stars,Seattle Kraken,4,5
72,2023-03-23,,Pittsburgh Penguins,3,2,W,,,42,6,0,2,0,50,69,42.0,36,52,40.9,32,23,58.2,52.8,102.0,Dallas Stars,Dallas Stars,Pittsburgh Penguins,3,2
73,2023-03-25,,Vancouver Canucks,1,3,L,,,24,8,0,3,1,40,32,55.6,25,25,50.0,23,22,51.1,62.1,91.7,Dallas Stars,Dallas Stars,Vancouver Canucks,1,3
74,2023-03-28,@,Chicago Blackhawks,4,1,W,,,18,23,0,1,0,42,29,59.2,32,21,60.4,23,19,54.8,54.5,102.4,Dallas Stars,Chicago Blackhawks,Dallas Stars,1,4
75,2023-03-31,@,Arizona Coyotes,5,2,W,,,18,10,1,2,0,44,41,51.8,34,28,54.8,27,14,65.9,44.4,114.1,Dallas Stars,Arizona Coyotes,Dallas Stars,2,5
76,2023-04-01,@,Colorado Avalanche,2,5,L,,,32,10,1,3,0,42,43,49.4,33,30,52.4,17,23,42.5,39.1,84.0,Dallas Stars,Colorado Avalanche,Dallas Stars,5,2
77,2023-04-03,,Nashville Predators,5,1,W,,,27,10,0,2,0,46,36,56.1,36,24,60.0,20,30,40.0,60.0,107.7,Dallas Stars,Dallas Stars,Nashville Predators,5,1
78,2023-04-06,,Philadelphia Flyers,4,1,W,,,25,8,0,2,0,53,43,55.2,35,34,50.7,24,25,49.0,47.1,103.7,Dallas Stars,Dallas Stars,Philadelphia Flyers,4,1
79,2023-04-08,,Vegas Golden Knights,2,1,W,SO,,20,4,0,2,0,49,41,54.4,34,29,54.0,30,19,61.2,48.6,98.8,Dallas Stars,Dallas Stars,Vegas Golden Knights,2,1
80,2023-04-10,@,Detroit Red Wings,6,1,W,,,20,8,0,2,0,41,37,52.6,30,26,53.6,21,15,58.3,57.1,119.4,Dallas Stars,Detroit Red Wings,Dallas Stars,1,6
81,2023-04-12,@,St. Louis Blues,5,2,W,,,18,12,1,2,0,46,29,61.3,28,19,59.6,29,19,60.4,66.5,101.2,Dallas Stars,St. Louis Blues,Dallas Stars,2,5
82,2023-04-13,,St. Louis Blues,1,0,W,,,25,4,0,2,0,60,37,61.9,43,32,57.3,28,15,65.1,50.0,103.4,Dallas Stars,Dallas Stars,St. Louis Blues,1,0
