GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
16,2022-11-17,,Washington Capitals,5,4,W,SO,,51,8,1,3,1,37,71,34.3,29,56,34.1,39,17,69.6,35.4,108.9,St. Louis Blues,St. Louis Blues,Washington Capitals,5,4
17,2022-11-19,,Anaheim Ducks,6,2,W,,,32,11,2,4,0,42,51,45.2,33,31,51.6,24,23,51.1,50.0,116.7,St. Louis Blues,St. Louis Blues,Anaheim Ducks,6,2
18,2022-11-21,,Anaheim Ducks,3,1,W,,,28,6,0,2,0,42,44,48.8,32,32,50.0,29,15,65.9,28.1,104.3,St. Louis Blues,St. Louis Blues,Anaheim Ducks,3,1
19,2022-11-23,@,Buffalo Sabres,2,6,L,,,32,8,2,3,0,53,47,53.0,43,36,54.4,22,22,50.0,80.7,87.1,St. Louis Blues,Buffalo Sabres,St. Louis Blues,6,2
20,2022-11-25,@,Tampa Bay Lightning,2,5,L,,,27,13,1,2,0,44,49,47.3,29,40,42.0,19,21,47.5,54.5,87.7,St. Louis Blues,Tampa Bay Lightning,St. Louis Blues,5,2
21,2022-11-26,@,Florida Panthers,5,4,W,OT,,37,15,0,2,1,46,45,50.5,36,39,48.0,20,19,51.3,56.1,106.3,St. Louis Blues,Florida Panthers,St. Louis Blues,4,5
22,2022-11-28,,Dallas Stars,1,4,L,,,24,7,0,1,0,42,54,43.8,34,33,50.7,16,29,35.6,53.6,87.0,St. Louis Blues,St. Louis Blues,Dallas Stars,1,4
23,2022-12-01,,Carolina Hurricanes,4,6,L,,,36,6,1,1,0,32,52,38.1,28,44,38.9,17,28,37.8,63.0,93.9,St. Louis Blues,St. Louis Blues,Carolina Hurricanes,4,6
24,2022-12-03,@,Pittsburgh Penguins,2,6,L,,,38,4,2,4,0,38,53,41.8,27,40,40.3,19,22,46.3,37.0,95.7,St. Louis Blues,Pittsburgh Penguins,St. Louis Blues,6,2
25,2022-12-05,@,New York Rangers,4,6,L,,,24,10,1,1,1,45,34,57.0,34,23,59.6,27,27,50.0,51.6,90.7,St. Louis Blues,New York Rangers,St. Louis Blues,6,4
26,2022-12-06,@,New York Islanders,7,4,W,,,40,4,1,2,0,42,59,41.6,35,43,44.9,20,33,37.7,61.3,118.6,St. Louis Blues,New York Islanders,St. Louis Blues,4,7
27,2022-12-08,,Winnipeg Jets,2,5,L,,,20,4,1,1,0,48,42,53.3,30,28,51.7,22,20,52.4,68.0,83.9,St. Louis Blues,St. Louis Blues,Winnipeg Jets,2,5
28,2022-12-11,,Colorado Avalanche,2,3,L,OT,,31,8,0,3,0,44,41,51.8,36,32,52.9,28,18,60.9,45.7,88.0,St. Louis Blues,St. Louis Blues,Colorado Avalanche,2,3
29,2022-12-12,,Nashville Predators,1,0,W,OT,,25,6,0,4,0,42,45,48.3,27,30,47.4,16,15,51.6,48.7,105.6,St. Louis Blues,St. Louis Blues,Nashville Predators,1,0
